"Variable","Celda"
"cliente","D7"
"contrato","K7"
"fecha_reporte","U7"
"ot","AD7"
"num_reporte","AK7"
"zona","D9"
"estacion","K9"
"sistema","U8"
"alcance","AD9"
"norma_referencia","F11"
"criterio_aceptacion","AB11"
"material","E15"
"temperatura_servicio","R15"
"tipo_recubrimiento","AB15"
"condicion_recubrimiento","AJ15"
"rating_sistema","E17"
"presion_diseno","S17"
"mop","Z17"
"codigo_diseno","AG17"
"marca_equipo","G21"
"modelo_equipo","X21"
"serie_equipo","AF21"
"fecha_calibracion","AL21"
"tipo_palpador","E23"
"frecuencia","R23"
"tamano_diametro","AB23"
"bloque_calibracion","AE23"
"material_bloque","E25"
"procedimiento","P25"
"tecnica","AC25"
"velocidad_calibracion","AL25"
"nombre","C41"
"cargo","C42"
"fecha","C44"
