"Variable","Celda"
"Cliente","E7"
"Contrato","M7"
"N_Reporte","R7"
"OT","Z7"
"Fecha","AE7"
"Departamento","E9"
"Ciudad","M9"
"Troncal","U9"
"Estación","AC9"
"Sistema","E11"
"Linea","R11"
"PK","AC11"
"Equipo_Inspeccionado","G16"
"Tag","N16"
"Descripcion_Componente","G18"
"Estado_Componente","G20"
"Observacion_Estado","M20"
"Ubicacion_Componente","G22"
"Dimensiones","G24"
"NPS","G26"
"Espesor_Min_Pulg","M26"
"Plano_Referencia","G28"
"Observaciones_Generales","B31"
"1_M_Procedimiento","G54"
"1_M_Tecnica","Q54"
"1_M_Normas_Referencia","AC54"
"1_M_Abrasivo","F54"
"1_M_Equipo_Desbaste","F60"
"1_M_Marca_Desbaste","M60"
"1_M_Modelo_Desbaste","F62"
"1_M_Serie_Desbaste","M62"
"1_M_Micro_Marca","V60"
"1_M_Micro_Modelo","AC60"
"1_M_Micro_Serie","V62"
"1_M_Micro_Lentes","AC62"
"1_M_Material_Analizar","J68"
"1_M_Tiempo_Ataque_Seg","J69"
"1_M_Reactivo_Norma","AB68"
"1_M_Calc_Vol_Solucion","AB73"
"1_M_Calc_Conc_Acido_Base","AB74"
"1_M_Calc_Conc_Deseada","AB75"
"1_M_Res_Vol_Acido","AB75"
"1_M_Res_Vol_Dilusor","AB76"
"1_M_aumentos_metalografias","L79"
"1_M_comentario_2","P84"
"1_M_comentario_3","Z84"
"1_M_analisis_inclusiones","L86"
"1_M_comentario_4","P91"
"1_M_comentario_5","Z91"
"1_M_analisis_de_inclusiones","L93"
"1_M_comentario_6","U99"
"1_M_tamano_grano","F101"
"1_M_fases","N101"
"1_M_porceso_fabricacion","V101"
"1_M_defectos","AD101"
"1_M_analisis_metalografico","L103"
"Material_referencia","B125"
"Material_referencia_2","B130"
"2_Q_Procedimiento","G110"
"2_Q_Tecnica","Q110"
"2_Q_Normas_Referencia","AC110"
"2_Q_Equipo_Desbaste","F114"
"2_Q_Marca_Desbaste","V114"
"2_Q_Modelo_Desbaste","F116"
"2_Q_Serie_Desbaste","Q116"
"2_Q_fecha_calibracion","AB116"
"2_Q_comentario_7","E163"
"2_Q_comentario_8","U163"
"3_D_Procedimiento","G169"
"3_D_Tecnica","Q169"
"3_D_Normas_Referencia","AC169"
"3_D_Marca_Durometro","F173"
"3_D_Modelo_Durometro","F175"
"3_D_Serie_Durometro","W173"
"3_D_Fecha_Calibracion","W175"
"3_D_Ubicacion_Horaria","E179"
"3_D_Escala_Dureza","M179"
"3_D_Tolerancia","U179"
"3_D_Material_Referencia","AC179"
"3_D_comentario_9","E219"
"3_D_comentario_10","U219"
"3_D_analisis_mecanicas","B221"
"comentario_1","U32"
"nombre","G224"
"cargo","G225"
