"Variable","Celda"
"id_punto","A21"
"sistema_o_linea","B21"
"cml","D21"
"diametro_in","E21"
"tipo_accesorio","F21"
"dja_mm","G21"
"posicion_horario_inicial","J21"
"posicion_horario_final","K21"
"longitud_barrido_circunferencial_mm","L21"
"longitud_barrido_longitudinal_mm","M21"
"area_barrido","N21"
"numero_barridos","O21"
"tipo_evaluacion","P21"
"posicion_horario_soldadura_longitudinal","Q21"
"espesor_nominal_mm","R21"
"espesor_promedio_mm","S21"
"espesor_minimo_mm","T21"
"perdida_basada_en_minimo","U21"
"perdida_basada_en_promedio","V21"
"observaciones","W21"
