"Variable","Celda"
"cliente","D7"
"fecha","J7"
"reporte_n","Q7"
"estacion","V7"
"contrato","D8"
"ot","J8"
"zona","Q8"
"sistema","V8"
"equipo","D9"
"fluido","J9"
"material","Q9"
"norma","V9"
"inicio_inspeccion","D13"
"acoplante","J13"
"estado_superficial","R13"
"marca_equipo","V13"
"fin_inspeccion","D14"
"rango_espesores","J14"
"temperatura_superficie","R14"
"modelo","V14"
"serie","D15"
"tipo_palpador","J15"
"frecuencia","O15"
"tamano","R15"
"fecha_calibracion","V15"
"nombre","D36"
"cargo","D37"
"certificado","D38"
"fecha_firma","D40"
