"Variable","Celda"
"segmento_linea_disp_alivio","C67"
"cml_tml_disp_alivio","F67"
"tag_disp_alivio","H67"
"marca_disp_alivio","K67"
"modelo_disp_alivio","N67"
"serial_disp_alivio","Q67"
"tamano_entrada_disp_alivio","T67"
"tamano_salida_disp_alivio","W67"
"fecha_calibracion_disp_alivio","Z67"
"presion_calibracion_disp_alivio","AC67"
"fugas_bridas_pernos","AF67"
"danos_recubrimiento_disp_alivio","AI67"
"seguridad_pernos_bridas","AL67"
"precintos_valvulas_corte","AP67"
"observaciones_disp_alivio","AU67"
