"Variable","Celda"
"cliente","C7"
"contrato","O7"
"fecha_reporte","W7"
"ot_os_oc","AC7"
"reporte_n","C9"
"troncal","O9"
"estacion","Y9"
"sistema","C11"
"tag_pk_dr","O11"
"capacidad","Y11"
"descripcion_equipo","E15"
"zona_inspeccionada","E17"
"dimensiones","Y17"
"n_parte","E19"
"proceso_fabricacion","O19"
"plano_referencias","Y19"
"acabado_superficial","E21"
"material","O21"
"n_de_serie_equipo","Y21"
"tipo_liquido_penetrante","E25"
"metodo_remocion_exceso","O25"
"metodo_app_liq_penetrante","AA25"
"tipo_revelador","G27"
"metodo_app_revelador","W27"
"norma_codigo_aceptacion","G29"
"norma_codigo_referencia","W29"
"procedimiento_inspeccion","I31"
"revision","W31"
"tiempo_penetracion","G35"
"tiempo_revelado","W35"
"intensidad_luz_visible","G37"
"temperatura_superficial","U37"
"lampara_uv_marca","G41"
"lampara_uv_serie","Q41"
"lampara_uv_calibracion","AA41"
"luxometro_marca","G43"
"luxometro_serie","Q43"
"luxometro_calibracion","AA43"
"termometro_marca","G45"
"termometro_serie","Q45"
"termometro_calibracion","AA45"
"penetrante_marca","G47"
"penetrante_lote","Q47"
"penetrante_vencimiento","AA47"
"emulsificante_marca","G49"
"emulsificante_lote","Q49"
"emulsificante_vencimiento","AA49"
"limpiador_marca","G51"
"limpiador_lote","Q51"
"limpiador_vencimiento","AA51"
"revelador_marca","G53"
"revelador_lote","Q53"
"revelador_vencimiento","AA53"
"nombre","C71"
"cargo","C72"
"fecha","C74"
